TEAM_ID,SEASON_ID,CONFERENCE,W,L,HOME_RECORD,ROAD_RECORD
1610612759,22013,West,62,20,32-9,30-11
1610612760,22013,West,59,23,34-7,25-16
1610612746,22013,West,57,25,34-7,23-18
1610612745,22013,West,54,28,33-8,21-20
1610612757,22013,West,54,28,31-10,23-18
1610612744,22013,West,51,31,27-14,24-17
1610612763,22013,West,50,32,27-14,23-18
1610612742,22013,West,49,33,26-15,23-18
1610612756,22013,West,48,34,26-15,22-19
1610612750,22013,West,40,42,24-17,16-25
1610612743,22013,West,36,46,22-19,14-27
1610612740,22013,West,34,48,22-19,12-29
1610612758,22013,West,28,54,17-24,11-30
1610612747,22013,West,27,55,14-27,13-28
1610612762,22013,West,25,57,16-25,9-32
1610612760,22012,West,60,22,34-7,26-15
1610612759,22012,West,58,24,35-6,23-18
1610612743,22012,West,57,25,38-3,19-22
1610612746,22012,West,56,26,32-9,24-17
1610612763,22012,West,56,26,32-9,24-17
1610612744,22012,West,47,35,28-13,19-22
1610612745,22012,West,45,37,29-12,16-25
1610612747,22012,West,45,37,29-12,16-25
1610612762,22012,West,43,39,30-11,13-28
1610612742,22012,West,41,41,24-17,17-24
1610612757,22012,West,33,49,22-19,11-30
1610612750,22012,West,31,51,20-21,11-30
1610612758,22012,West,28,54,20-21,8-33
1610612740,22012,West,27,55,16-25,11-30
1610612756,22012,West,25,57,17-24,8-33
1610612759,22010,West,61,21,36-5,25-16
1610612742,22010,West,57,25,29-12,28-13
1610612747,22010,West,57,25,30-11,27-14
1610612760,22010,West,55,27,30-11,25-16
1610612743,22010,West,50,32,33-8,17-24
1610612757,22010,West,48,34,30-11,18-23
1610612763,22010,West,46,36,30-11,16-25
1610612740,22010,West,46,36,28-13,18-23
1610612745,22010,West,43,39,25-16,18-23
1610612756,22010,West,40,42,23-18,17-24
1610612762,22010,West,39,43,21-20,18-23
1610612744,22010,West,36,46,26-15,10-31
1610612746,22010,West,32,50,23-18,9-32
1610612758,22010,West,24,58,11-30,13-28
1610612750,22010,West,17,65,12-29,5-36
1610612747,22009,West,57,25,34-7,23-18
1610612742,22009,West,55,27,28-13,27-14
1610612756,22009,West,54,28,32-9,22-19
1610612743,22009,West,53,29,34-7,19-22
1610612762,22009,West,53,29,32-9,21-20
1610612760,22009,West,50,32,27-14,23-18
1610612757,22009,West,50,32,26-15,24-17
1610612759,22009,West,50,32,29-12,21-20
1610612745,22009,West,42,40,23-18,19-22
1610612763,22009,West,40,42,23-18,17-24
1610612740,22009,West,37,45,24-17,13-28
1610612746,22009,West,29,53,21-20,8-33
1610612744,22009,West,26,56,18-23,8-33
1610612758,22009,West,25,57,18-23,7-34
1610612750,22009,West,15,67,10-31,5-36
1610612747,22008,West,65,17,36-5,29-12
1610612743,22008,West,54,28,33-8,21-20
1610612757,22008,West,54,28,34-7,20-21
1610612759,22008,West,54,28,28-13,26-15
1610612745,22008,West,53,29,33-8,20-21
1610612742,22008,West,50,32,32-9,18-23
1610612740,22008,West,49,33,28-13,21-20
1610612762,22008,West,48,34,33-8,15-26
1610612756,22008,West,46,36,28-13,18-23
1610612744,22008,West,29,53,21-20,8-33
1610612763,22008,West,24,58,16-25,8-33
1610612750,22008,West,24,58,11-30,13-28
1610612760,22008,West,23,59,15-26,8-33
1610612746,22008,West,19,63,11-30,8-33
1610612758,22008,West,17,65,11-30,6-35
1610612747,22007,West,57,25,30-11,27-14
1610612740,22007,West,56,26,30-11,26-15
1610612759,22007,West,56,26,34-7,22-19
1610612745,22007,West,55,27,31-10,24-17
1610612756,22007,West,55,27,30-11,25-16
1610612762,22007,West,54,28,37-4,17-24
1610612742,22007,West,51,31,34-7,17-24
1610612743,22007,West,50,32,33-8,17-24
