TEAM_ID,MIN_YEAR,ABBREVIATION,NICKNAME,CITY
1610612737,1949,ATL,Hawks,Atlanta
1610612738,1946,BOS,Celtics,Boston
1610612740,2002,NOP,Pelicans,New Orleans
1610612741,1966,CHI,Bulls,Chicago
1610612742,1980,DAL,Mavericks,Dallas
1610612743,1976,DEN,Nuggets,Denver
1610612745,1967,HOU,Rockets,Houston
1610612746,1970,LAC,Clippers,Los Angeles
1610612747,1948,LAL,Lakers,Los Angeles
1610612748,1988,MIA,Heat,Miami
1610612749,1968,MIL,Bucks,Milwaukee
1610612750,1989,MIN,Timberwolves,Minnesota
1610612751,1976,BKN,Nets,Brooklyn
1610612752,1946,NYK,Knicks,New York
1610612753,1989,ORL,Magic,Orlando
1610612754,1976,IND,Pacers,Indiana
1610612755,1949,PHI,76ers,Philadelphia
1610612756,1968,PHX,Suns,Phoenix
1610612757,1970,POR,Trail Blazers,Portland
1610612758,1948,SAC,Kings,Sacramento
1610612759,1976,SAS,Spurs,San Antonio
1610612760,1967,OKC,Thunder,Oklahoma City
1610612761,1995,TOR,Raptors,Toronto
1610612762,1974,UTA,Jazz,Utah
1610612763,1995,MEM,Grizzlies,Memphis
1610612764,1961,WAS,Wizards,Washington
1610612765,1948,DET,Pistons,Detroit
1610612766,1988,CHA,Hornets,Charlotte
1610612739,1970,CLE,Cavaliers,Cleveland
1610612744,1946,GSW,Warriors,Golden State
